,0
abang,1.0
actblur,0.0
adoi,1.0
agak,0.6666666666666666
agaration,0.0
agar-agar,1.0
ahah,0.6666666666666666
ahbeng,0.875
ahchek,1.0
ahkor,1.0
ahkua,0.7142857142857143
ah,0.6
ahpek,1.0
air-con,0.25
air-level,0.3333333333333333
aiyah,0.5
aiyoh,1.0
alamak,1.0
amacam,1.0
angmoh,1.0
angkat,1.5
angpow,1.0
anyhow,0.0
arka,1.25
argable,1.3333333333333333
arrowv,0.625
atas,2.0
attend,0.6666666666666666
bag,1.0
balek,1.0
balls,1.0
bang,0.3333333333333333
barang-barang,0.3333333333333333
basket,0.25
belanja,0.0
blank,0.0
blankfile,0.5
blanketparty,0.0
blurbl,0.8571428571428571
blur,0.5
Phrase,1.0
bochap,0.3333333333333333
bocheng,1.0
bohew,0.75
bodoh,0.0
bogay,1.0
boleh,0.5
botak,1.4
burned,0.5
butoh,1.0
can,0.0
CB,1.0
chatow,0.0
change,0.0
changkul,1.0
chaochow,0.0
chaokang,0.0
Chao,1.0
chari,1.6666666666666667
chaupeng,0.6666666666666666
chehche,0.0
chop-chopkali,0.75
chopechohp,0.0
The,2.0
Reserve,1.0
RJ,1.0
Used,0.0
choychoy,0.0
chuachuuah,0.0
William,1.0
Breathless,0.0
chumchuum,1.0
chuppie,1.0
chweekueh,0.8181818181818182
chyepng,1.0
chyepor,0.6666666666666666
chyesim,0.6
chye,1.0
Carrot,1.6
cinavar,1.0
cincaluk,2.0
Also,0.75
claypot,0.6666666666666666
Comb,1.0
climb,0.0
clown,0.0
CMI,1.0
CO,0.5
cockkok,0.0
cockstand,1.0
talkcock,0.8888888888888888
cock-up,0.2
cocokvar,1.0
coconut,1.0
coffeeshop,1.5
commando,1.0
condemned,0.3333333333333333
confinev,0.0
confinementn,1.0
coocoo,0.5
cooling,0.6
cowboy,0.0
crab,1.0
curry,1.3333333333333333
currypokvar,1.0
Back,1.0
Jack,1.0
DD,1.0
Deepavali,1.375
deh,1.0
dendeng,1.25
devilcurry,0.5
Joan,1.0
dhobi,0.7777777777777778
diao,1.0
ding,0.8
die-die,2.0
dirty,0.6
dodol,1.0
dotdot,0.0
double,1.0
double-boiled,0.25
Dragon,1.2857142857142858
drama,0.0
dropv,1.0
drunken,1.5
dry,1.0
duku,1.2
Dumpling,1.0
eatsalt,0.0
eeee,0.25
eefu,1.0909090909090908
eemeen,0.0
ee-yer,1.0
eff,0.0
egg,1.0
ehay,0.2
elephant,0.6666666666666666
Encik,1.0
exercisen,1.0
eyepower,0.6666666666666666
facai,1.2
face,0.0
Give,1.0
Lose,1.0
Save,1.0
fanchoy,0.6666666666666666
fat,1.0
fengfeng,0.8
fever,1.0
fire,0.0
Linda,1.0
Hong,0.6666666666666666
fire-walking,0.6470588235294118
fishball,1.25
fishcake,2.0
five-foot,1.0
Stephanie,1.0
A,0.4666666666666667
five-spice,1.0
five,1.0
flyaeroplane,0.6666666666666666
fly,0.3333333333333333
flying,0.0
Foochow,1.0
fork,1.0
free,2.0
Martin,2.0
Of,1.0
friendv,1.0
John,1.0
Paik-Choo,0.5
fuchuk,0.0
fuyu,1.25
fuck,0.5
fucked-up,0.5
vulg,0.5
fuckshop,0.0
G,1.0
gabra,0.5
gado,1.0
gahmen,0.6
gan,1.25
gao,0.0
garang,1.1
gasak,1.0
gengvar,1.0
gerek,1.0
getai,1.0
gila,1.3333333333333333
give,0.0
glam,1.5
glass,1.0
go,1.0
goblockvar,1.0
goli,1.0
gone,0.0
gong,0.0
gong-gong,1.0
goondu,0.0
gorblock,0.0
goreng,1.0
gostan,0.8
grago,0.8
grandfathers,0.0
green,1.0
GSO,1.0
guniang,0.5
gula,1.4
guotie,0.5
habis,1.0
hae,1.0
haemee,1.0
haebeevar,1.0
hahhah,0.5
Hainanese,0.5
Hakka,1.0
halal,0.5
half,0.0
hamshap,0.0
Hami,1.6666666666666667
hammerv,1.0
handphonen,0.4
hantamvar,1.0
haolian,1.3333333333333333
hargau,1.0
harlok,2.0
haram,0.3333333333333333
Hari,1.4285714285714286
hashima,1.0
hati,1.0
havoc,0.6666666666666666
hawker,0.75
hawkercentre,1.2
hawkerstall,1.0
haybee,1.2
haycho,2.0
hayko,1.0
haymee,1.6
haywiring,0.5
heartlander,0.9047619047619048
heartware,1.380952380952381
heaty,0.6666666666666666
heckcare,0.5
heepeow,1.2
helicopter,1.0
hellmoney,0.5
hengheng,1.3333333333333333
Henghwa,1.0
hentam,0.6
heowvar,1.0
hex,0.3333333333333333
hiaovar,1.0
hiauhiow,0.6
hilang,1.0
